product_id,product_name,ema_number,patient_safety,authorisation_status,atc_code,additional,generic,conditional,exceptional,accelerated,orphan,authorisation_date,authorisation_holder,therapeutic_group,indication,url,dosage_form,route
0,Ryeqo,EMEA/H/C/005267,False,Authorised,H01CC54,True,False,False,False,False,False,16/07/2021,Gedeon Richter Plc.,Pituitary and hypothalamic hormones and analogues,"Ryeqo is indicated in adult women of reproductive age for:- treatment of moderate to severe symptoms of uterine fibroids,- symptomatic treatment of endometriosis in women with a history of previous medical or surgical treatment for their endometriosis.",https://www.ema.europa.eu/en/medicines/human/EPAR/ryeqo,Tablet,Oral
1,Teriflunomide Mylan,EMEA/H/C/005962,False,Authorised,L04AA31,False,True,False,False,False,False,09/11/2022,Mylan Pharmaceuticals Limited,Immunosuppressants,Teriflunomide Mylan is indicated for the treatment of adult patients and paediatric patients aged 10 years and older (body weight > 40 kg) with relapsing remitting multiple sclerosis (MS) (please refer to section 5.1 of the SmPC for important information on the population for which efficacy has been established). ,https://www.ema.europa.eu/en/medicines/human/EPAR/teriflunomide-mylan,Tablet,Oral
2,Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),EMEA/H/C/002785,False,Authorised,N04BA03,False,False,False,False,False,False,11/11/2013,Orion Corporation,Anti-Parkinson drugs,Corbilta is indicated for the treatment of adult patients with Parkinson’s disease and end-of-dose motor fluctuations not stabilised on levodopa/dopa decarboxylase (DDC) inhibitor treatment.,https://www.ema.europa.eu/en/medicines/human/EPAR/corbilta,Tablet,Oral
3,Pregabalin Mylan,EMEA/H/C/004078,False,Authorised,N03AX16,False,True,False,False,False,False,24/06/2015,Mylan Pharmaceuticals Limited,"Antiepileptics, ",Neuropathic painPregabalin Mylan is indicated for the treatment of peripheral and central neuropathic pain in adults.EpilepsyPregabalin Mylan is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.Generalised Anxiety DisorderPregabalin Mylan is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults.,https://www.ema.europa.eu/en/medicines/human/EPAR/pregabalin-mylan,Hard Capsule,Oral
4,Vocabria,EMEA/H/C/004976,False,Authorised,J05AX,True,False,False,False,False,False,17/12/2020,ViiV Healthcare B.V.,Antivirals for systemic use,Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA ,https://www.ema.europa.eu/en/medicines/human/EPAR/vocabria,Prolonged-Release Suspension for Injection,Intramuscular
5,Vocabria,EMEA/H/C/004976,False,Authorised,J05AX,True,False,False,False,False,False,17/12/2020,ViiV Healthcare B.V.,Antivirals for systemic use,Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA ,https://www.ema.europa.eu/en/medicines/human/EPAR/vocabria,Tablet,Oral
6,Duaklir Genuair,EMEA/H/C/003745,False,Authorised,R03AL,True,False,False,False,False,False,19/11/2014,Covis Pharma Europe B.V.,"Drugs for obstructive airway diseases, ",Duaklir Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,https://www.ema.europa.eu/en/medicines/human/EPAR/duaklir-genuair,Powder for Inhalation,Inhalation
7,Eklira Genuair,EMEA/H/C/002211,False,Authorised,R03BB,True,False,False,False,False,False,20/07/2012,Covis Pharma Europe B.V.,"Drugs for obstructive airway diseases, ",Eklira Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,https://www.ema.europa.eu/en/medicines/human/EPAR/eklira-genuair,Powder for Inhalation,Inhalation
8,Toviaz,EMEA/H/C/000723,False,Authorised,G04BD11,False,False,False,False,False,False,20/04/2007,Pfizer Europe MA EEIG,Urologicals,Treatment of the symptoms (increased urinary frequency and / or urgency and / or urgency incontinence) that may occur in patients with overactive-bladder syndrome.,https://www.ema.europa.eu/en/medicines/human/EPAR/toviaz,Prolonged-Release Tablet,Oral
9,Exjade,EMEA/H/C/000670,False,Authorised,V03AC03,True,False,False,False,False,False,28/08/2006,Novartis Europharm Limited,All other therapeutic products,Exjade is indicated for the treatment of chronic iron overload due to frequent blood transfusions (? 7 ml/kg/month of packed red blood cells) in patients with beta thalassaemia major aged six years and older.Exjade is also indicated for the treatment of chronic iron overload due to blood transfusions when deferoxamine therapy is contraindicated or inadequate in the following patient groups:in patients with beta thalassaemia major with iron overload due to frequent blood transfusions (? 7 ml/kg/month of packed red blood cells) aged two to five years;in patients with beta thalassaemia major with iron overload due to infrequent blood transfusions (< 7 ml/kg/month of packed red blood cells) aged two years and older;in patients with other anaemias aged two years and older.Exjade is also indicated for the treatment of chronic iron overload requiring chelation therapy when deferoxamine therapy is contraindicated or inadequate in patients with non-transfusion-dependent thalassaemia syndromes aged 10 years and older.,https://www.ema.europa.eu/en/medicines/human/EPAR/exjade,Tablet,Oral
10,Exjade,EMEA/H/C/000670,False,Authorised,V03AC03,True,False,False,False,False,False,28/08/2006,Novartis Europharm Limited,All other therapeutic products,Exjade is indicated for the treatment of chronic iron overload due to frequent blood transfusions (? 7 ml/kg/month of packed red blood cells) in patients with beta thalassaemia major aged six years and older.Exjade is also indicated for the treatment of chronic iron overload due to blood transfusions when deferoxamine therapy is contraindicated or inadequate in the following patient groups:in patients with beta thalassaemia major with iron overload due to frequent blood transfusions (? 7 ml/kg/month of packed red blood cells) aged two to five years;in patients with beta thalassaemia major with iron overload due to infrequent blood transfusions (< 7 ml/kg/month of packed red blood cells) aged two years and older;in patients with other anaemias aged two years and older.Exjade is also indicated for the treatment of chronic iron overload requiring chelation therapy when deferoxamine therapy is contraindicated or inadequate in patients with non-transfusion-dependent thalassaemia syndromes aged 10 years and older.,https://www.ema.europa.eu/en/medicines/human/EPAR/exjade,Granules,Oral
11,Protopic,EMEA/H/C/000374,False,Authorised,D11AH01,False,False,False,False,False,False,27/02/2002,LEO Pharma A/S,Other dermatological preparations,"Flare treatmentAdults and adolescents (16 years of age and above)Treatment of moderate to severe atopic dermatitis in adults who are not adequately responsive to or are intolerant of conventional therapies such as topical corticosteroids.Children (two years of age and above)Treatment of moderate to severe atopic dermatitis in children (two years of age and above) who failed to respond adequately to conventional therapies such as topical corticosteroids.Maintenance treatmentMaintenance treatment of moderate to severe atopic dermatitis for the prevention of flares and the prolongation of flare-free intervals in patients experiencing a high frequency of disease exacerbations (i.e. occurring four or more times per year) who have had an initial response to a maximum of six weeks treatment of twice daily tacrolimus ointment (lesions cleared, almost cleared or mildly affected).",https://www.ema.europa.eu/en/medicines/human/EPAR/protopic,Ointment,Cutaneous
12,Tacforius,EMEA/H/C/004435,False,Authorised,L04AD02,False,True,False,False,False,False,08/12/2017,Teva B.V.,Immunosuppressants,Prophylaxis of transplant rejection in adult kidney or liver allograft recipients.Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.,https://www.ema.europa.eu/en/medicines/human/EPAR/tacforius,Prolonged-Release Hard Capsule,Oral
13,Pregabalin Accord,EMEA/H/C/004024,False,Authorised,N03AX16,False,True,False,False,False,False,28/08/2015,Accord Healthcare S.L.U.,"Antiepileptics, ",EpilepsyPregabalin Accord is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.Generalised Anxiety DisorderPregabalin Accord is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults.,https://www.ema.europa.eu/en/medicines/human/EPAR/pregabalin-accord,Hard Capsule,Oral
14,Ibandronic acid Accord,EMEA/H/C/002638,False,Authorised,M05BA06,False,True,False,False,False,False,18/11/2012,Accord Healthcare S.L.U.,Drugs for treatment of bone diseases,"Ibandronic acid is indicated in adults forPrevention of skeletal events (pathological fractures, bone complications requiring radiotherapy or surgery) in patients with breast cancer and bone metastases.Treatment of tumour induced hypercalcaemia with or without metastases.Treatment of osteoporosis in postmenopausal women at increased risk of fracture (see section 5.1).A reduction in the risk of vertebral fractures has been demonstrated, efficacy on femoral neck fractures has not been established.",https://www.ema.europa.eu/en/medicines/human/EPAR/ibandronic-acid-accord,Concentrate for solution for infusion,Intravenous
15,Ibandronic acid Accord,EMEA/H/C/002638,False,Authorised,M05BA06,False,True,False,False,False,False,18/11/2012,Accord Healthcare S.L.U.,Drugs for treatment of bone diseases,"Ibandronic acid is indicated in adults forPrevention of skeletal events (pathological fractures, bone complications requiring radiotherapy or surgery) in patients with breast cancer and bone metastases.Treatment of tumour induced hypercalcaemia with or without metastases.Treatment of osteoporosis in postmenopausal women at increased risk of fracture (see section 5.1).A reduction in the risk of vertebral fractures has been demonstrated, efficacy on femoral neck fractures has not been established.",https://www.ema.europa.eu/en/medicines/human/EPAR/ibandronic-acid-accord,Solution for injection,Intravenous
16,Bretaris Genuair,EMEA/H/C/002706,False,Authorised,R03BB,True,False,False,False,False,False,20/07/2012,Covis Pharma Europe B.V.,"Drugs for obstructive airway diseases, ",Bretaris Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,https://www.ema.europa.eu/en/medicines/human/EPAR/bretaris-genuair,Powder for Inhalation,Inhalation
17,Viread,EMEA/H/C/000419,False,Authorised,J05AF07,False,False,False,False,False,False,04/02/2002,Gilead Sciences Ireland UC,Antivirals for systemic use,"HIV 1 infectionViread 123 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, aged 6 to < 12 years who weigh from 17 kg to less than 22 kg.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 123 mg film coated tablets are indicated for the treatment of chronic hepatitis B in paediatric patients aged 6 to < 12 years who weigh from 17 kg to less than 22 kg, withcompensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 163 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, aged 6 to < 12 years who weigh from 22 kg to less than 28 kg.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 163 mg film coated tablets are indicated for the treatment of chronic hepatitis B in paediatric patients aged 6 to < 12 years who weigh from 22 kg to less than 28 kg, with:compensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 204 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, aged 6 to < 12 years who weigh from 28 kg to less than 35 kg.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 204 mg film coated tablets are indicated for the treatment of chronic hepatitis B in paediatric patients aged 6 to < 12 years who weigh from 28 kg to less than 35 kg, with:compensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 245 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected adults.In adults, the demonstration of the benefit of Viread in HIV 1 infection is based on results of one study in treatment naïve patients, including patients with a high viral load (> 100,000 copies/ml) and studies in which Viread was added to stable background therapy (mainly tritherapy) in antiretroviral pre-treated patients experiencing early virological failure (< 10,000 copies/ml, with the majority of patients having < 5,000 copies/ml).Viread 245 mg film coated tablets are also indicated for the treatment of HIV 1 infected adolescents, with NRTI resistance or toxicities precluding the use of first line agents, aged 12 to < 18 years.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 245 mg film coated tablets are indicated for the treatment of chronic hepatitis B in adults with:compensated liver disease, with evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active inflammation and/or fibrosis (see section 5.1).evidence of lamivudine resistant hepatitis B virus (see sections 4.8 and 5.1).decompensated liver disease (see sections 4.4, 4.8 and 5.1).Viread 245 mg film coated tablets are indicated for the treatment of chronic hepatitis B in adolescents 12 to < 18 years of age with:compensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 33 mg/g granules are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, from 2 to < 6 years of age, and above 6 years of age for whom a solid dosage form is not appropriate.Viread 33 mg/g granules are also indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected adults for whom a solid dosage form is not appropriate.In adults, the demonstration of the benefit of Viread in HIV 1 infection is based on results of one study in treatment naïve patients, including patients with a high viral load (> 100,000 copies/ml) and studies in which Viread was added to stable background therapy (mainly tritherapy) in antiretroviral pre-treated patients experiencing early virological failure (< 10,000 copies/ml, with the majority of patients having < 5,000 copies/ml).The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 33 mg/g granules are indicated for the treatment of chronic hepatitis B in adults for whom a solid dosage form is not appropriate with:compensated liver disease, with evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active inflammation and/or fibrosis (see section 5.1).evidence of lamivudine resistant hepatitis B virus (see sections 4.8 and 5.1).decompensated liver disease (see sections 4.4, 4.8 and 5.1).Viread 33 mg/g granules are also indicated for the treatment of chronic hepatitis B in paediatric patients2 to < 18 years of age for whom a solid dosage form is not appropriate with:compensated liver disease and evidence of immune active disease, i.e. active viral replication, and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.",https://www.ema.europa.eu/en/medicines/human/EPAR/viread,Tablet,Oral
