product_id,drug_substance,actives_by_dose,notes,fa,f,tmax,dose_value,dose_unit,pss_inchikey,pss_inchi,pss_smiles,ps_smiles,ps_num_drugs,parent_drug_id
0,RELUGOLIX,RELUGOLIX,,,0.116,2,40,MG,AOMXMOCNKJTRQP-UHFFFAOYSA-N,"InChI=1S/C29H27F2N7O5S/c1-36(2)14-19-24-26(39)38(22-12-13-23(42-3)34-33-22)29(41)37(15-18-20(30)6-5-7-21(18)31)27(24)44-25(19)16-8-10-17(11-9-16)32-28(40)35-43-4/h5-13H,14-15H2,1-4H3,(H2,32,35,40)",CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,1,0
0,ESTRADIOL HEMIHYDRATE, ESTRADIOL,,,,7,1,MG,ZVVGLAMWAQMPDR-WVEWYJOQSA-N,"InChI=1S/2C18H24O2.H2O/c2*1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20;/h2*3,5,10,14-17,19-20H,2,4,6-9H2,1H3;1H2/t2*14-,15-,16+,17+,18+;/m11./s1",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1,1
0,NORETHISTERONE ACETATE, NORETHISTERONE ACETATE,Tmax refers to norethisterone,,,1.01,0.5,MG,IMONTRJLAWHYGT-ZCPXKWAGSA-N,"InChI=1S/C22H28O3/c1-4-22(25-14(2)23)12-10-20-19-7-5-15-13-16(24)6-8-17(15)18(19)9-11-21(20,22)3/h1,13,17-20H,5-12H2,2-3H3/t17-,18+,19+,20-,21-,22-/m0/s1",CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1,2
1,TERIFLUNOMIDE,TERIFLUNOMIDE,,1,1,2.5,14,MG,UTNUDOFZCWSZMS-YFHOEESVSA-N,"InChI=1S/C12H9F3N2O2/c1-7(18)10(6-16)11(19)17-9-4-2-8(3-5-9)12(13,14)15/h2-5,18H,1H3,(H,17,19)/b10-7-",C/C(=C(\C#N)/C(=O)NC1=CC=C(C=C1)C(F)(F)F)/O,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1,3
2,LEVODOPA,LEVODOPA,,,0.24,,200,MG,WTDRDQBEARUVNC-LURJTMIESA-N,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1",C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1,4
2,CARBIDOPA, CARBIDOPA,,,0.55,,50,MG,TZFNLOMSOLWIDK-JTQLQIEISA-N,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1",C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,1,5
2,ENTACAPONE, ENTACAPONE,,,0.35,,200,MG,JRURYQJSLYLRLN-BJMVGYQFSA-N,"InChI=1S/C14H15N3O5/c1-3-16(4-2)14(20)10(8-15)5-9-6-11(17(21)22)13(19)12(18)7-9/h5-7,18-19H,3-4H2,1-2H3/b10-5+",CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1,6
3,PREGABALIN,PREGABALIN,,1,0.9,1,300,MG,AYXYPKUFHZROOJ-ZETCQYMHSA-N,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",CC(C)C[C@@H](CC(=O)O)CN,CC(C)C[C@H](CN)CC(=O)O,1,7
4,CABOTEGRAVIR,CABOTEGRAVIR,,,,,600,MG,WCWSTNLSLKSJPK-LKFCYVNXSA-N,"InChI=1S/C19H17F2N3O5/c1-9-8-29-14-7-23-6-12(16(25)17(26)15(23)19(28)24(9)14)18(27)22-5-10-2-3-11(20)4-13(10)21/h2-4,6,9,14,26H,5,7-8H2,1H3,(H,22,27)/t9-,14+/m0/s1",C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,1,8
5,CABOTEGRAVIR SODIUM,CABOTEGRAVIR,,,,3,30,MG,AEZBWGMXBKPGFP-KIUAEZIZSA-M,"InChI=1S/C19H17F2N3O5.Na/c1-9-8-29-14-7-23-6-12(16(25)17(26)15(23)19(28)24(9)14)18(27)22-5-10-2-3-11(20)4-13(10)21;/h2-4,6,9,14,26H,5,7-8H2,1H3,(H,22,27);/q;+1/p-1/t9-,14+;/m0./s1",C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-].[Na+],C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],1,8
6,ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,,,,,0.4,MG,XLAKJQPTOJHYDR-QTQXQZBYSA-M,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-],O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],1,9
6,FORMOTEROL FUMARATE DIHYDRATE, FORMOTEROL FUMARATE DIHYDRATE,,,,,0.012,MG,RATSWNOMCHFQGJ-AYJOUMQSSA-N,"InChI=1S/2C19H24N2O4.C4H4O4.2H2O/c2*1-13(9-14-3-6-16(25-2)7-4-14)20-11-19(24)15-5-8-18(23)17(10-15)21-12-22;5-3(6)1-2-4(7)8;;/h2*3-8,10,12-13,19-20,23-24H,9,11H2,1-2H3,(H,21,22);1-2H,(H,5,6)(H,7,8);2*1H2/b;;2-1+;;/t2*13-,19+;;;/m11.../s1",C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C(=C/C(=O)O)\C(=O)O.O.O,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1.COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1.O=C(O)/C=C/C(=O)O,2,10
7,ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,,,,,0.4,MG,XLAKJQPTOJHYDR-QTQXQZBYSA-M,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-],O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],1,9
