product_id,excipient,excipient_id
0,TITANIUM DIOXIDE,1
0,MANNITOL,2
0,LACTOSE MONOHYDRATE,3
0,HYPROMELLOSE,4
0,MAGNESIUM STEARATE,5
0,HYDROXYPROPYLCELLULOSE,6
0,SODIUM STARCH GLYCOLATE,7
0,GLYCEROL TRIACETATE,8
0,IRON OXIDE,9
1,TITANIUM DIOXIDE,1
1,MICROCRYSTALLINE CELLULOSE,10
1,LACTOSE MONOHYDRATE,3
1,HYPROMELLOSE,4
1,MAGNESIUM STEARATE,5
1,POLYETHYLENE GLYCOL,11
1,TALC,12
1,HYDROXYPROPYLCELLULOSE,6
1,SODIUM STARCH GLYCOLATE,7
1,"SILICON DIOXIDE, ANHYDROUS",13
1,INDIGO CARMINE,14
1,MAIZE STARCH,15
2,TITANIUM DIOXIDE,1
2,MANNITOL,2
2,POLYSORBATE,16
2,HYPROMELLOSE,4
2,MAGNESIUM STEARATE,5
2,SUCROSE,17
2,POVIDONE,18
2,CROSCARMELLOSE SODIUM,19
2,IRON OXIDE,9
2,GLYCEROL,20
2,MAIZE STARCH,15
3,MAIZE STARCH,15
3,TITANIUM DIOXIDE,1
3,GELATIN,21
3,WATER,22
3,SHELLAC,23
3,ERYTHROSINE,24
3,PRINTING INK,25
3,AMMONIA,26
3,HYDROXYPROPYLCELLULOSE,6
3,IRON OXIDE,9
3,PROPYLENE GLYCOL,27
3,SODIUM LAURIL SULFATE,28
3,TALC,12
3,POTASSIUM HYDROXIDE,29
4,MANNITOL,2
4,POLYSORBATE,16
4,POLYETHYLENE GLYCOL,11
4,WATER,22
5,TITANIUM DIOXIDE,1
5,MICROCRYSTALLINE CELLULOSE,10
5,LACTOSE MONOHYDRATE,3
5,HYPROMELLOSE,4
5,MAGNESIUM STEARATE,5
5,POLYETHYLENE GLYCOL,11
5,SODIUM STARCH GLYCOLATE,7
6,LACTOSE MONOHYDRATE,3
7,LACTOSE MONOHYDRATE,3
8,XYLITOL,30
8,GLYCEROL DIBEHENATE,31
8,TITANIUM DIOXIDE,1
8,MICROCRYSTALLINE CELLULOSE,10
8,LACTOSE MONOHYDRATE,3
8,LECITHIN,32
8,HYPROMELLOSE,4
8,POLYETHYLENE GLYCOL,11
8,POLYVINYL ALCOHOL,33
8,INDIGO CARMINE,14
8,TALC,12
9,TITANIUM DIOXIDE,1
9,MICROCRYSTALLINE CELLULOSE,10
9,HYPROMELLOSE,4
9,MAGNESIUM STEARATE,5
9,POLYETHYLENE GLYCOL,11
9,POVIDONE,18
9,POLOXAMER,34
9,"SILICON DIOXIDE, ANHYDROUS",13
9,INDIGO CARMINE,14
9,TALC,12
9,CROSPOVIDONE,35
10,MICROCRYSTALLINE CELLULOSE,10
10,MAGNESIUM STEARATE,5
10,POVIDONE,18
10,POLOXAMER,34
10,"SILICON DIOXIDE, ANHYDROUS",13
10,CROSPOVIDONE,35
11,ALPHA-TOCOPHEROL,36
11,PROPYLENE CARBONATE,37
11,BUTYLHYDROXYTOLUENE,38
11,LIQUID PARAFFIN,39
11,PARAFFIN,40
11,WHITE WAX,41
11,PETROLATUM,42
12,TITANIUM DIOXIDE,1
12,GELATIN,21
12,PONCEAU 4R,43
12,LACTOSE MONOHYDRATE,3
12,SHELLAC,23
12,HYPROMELLOSE,4
12,MAGNESIUM STEARATE,5
12,PRINTING INK,25
12,IRON OXIDE,9
12,PROPYLENE GLYCOL,27
12,ETHYLCELLULOSE,44
12,POTASSIUM HYDROXIDE,29
13,PREGELATINISED STARCH,45
13,TITANIUM DIOXIDE,1
13,GELATIN,21
13,SHELLAC,23
13,PRINTING INK,25
13,IRON OXIDE,9
13,PROPYLENE GLYCOL,27
13,SODIUM LAURIL SULFATE,28
13,TALC,12
13,POTASSIUM HYDROXIDE,29
14,SODIUM CHLORIDE,46
14,SODIUM ACETATE TRIHYDRATE,47
14,ACETIC ACID,48
14,WATER,22
15,SODIUM CHLORIDE,46
15,SODIUM ACETATE TRIHYDRATE,47
15,ACETIC ACID,48
15,WATER,22
16,LACTOSE MONOHYDRATE,3
17,PREGELATINISED STARCH,45
17,TITANIUM DIOXIDE,1
17,MICROCRYSTALLINE CELLULOSE,10
17,LACTOSE MONOHYDRATE,3
17,HYPROMELLOSE,4
17,MAGNESIUM STEARATE,5
17,GLYCEROL TRIACETATE,8
17,CROSCARMELLOSE SODIUM,19
18,HYDROXYPROPYLCELLULOSE,6
18,"SILICON DIOXIDE, ANHYDROUS",13
18,ETHYLCELLULOSE,44
18,MANNITOL,2
19,MAGNESIUM CHLORIDE HEXAHYDRATE,49
19,WATER,22
20,TITANIUM DIOXIDE,1
20,METHACRYLIC ACID AND ETHYL ACRYLATE CO-POLYMERS,50
20,GELATIN,21
20,MICROCRYSTALLINE CELLULOSE,10
20,POTASSIUM HYDROXIDE,29
20,SHELLAC,23
20,BRILLIANT BLUE,51
20,MAGNESIUM STEARATE,5
20,TALC,12
20,METHACRYLIC ACID AND METHYL METHACRYLATE CO-POLYMERS,52
20,IRON OXIDE,9
20,PROPYLENE GLYCOL,27
20,"SILICON DIOXIDE, ANHYDROUS",13
20,CROSCARMELLOSE SODIUM,19
20,TRIETHYL CITRATE,53
21,MANNITOL,2
21,MICROCRYSTALLINE CELLULOSE,10
21,ASPARTAME,54
21,MAGNESIUM STEARATE,5
21,CROSPOVIDONE,35
22,MANNITOL,2
22,MICROCRYSTALLINE CELLULOSE,10
22,ASPARTAME,54
22,MAGNESIUM STEARATE,5
22,CROSPOVIDONE,35
23,MANNITOL,2
23,SODIUM CHLORIDE,46
23,CARBOMER,55
23,SODIUM HYDROXIDE,56
23,WATER,22
23,TYLOXAPOL,57
