,LHS,RHS,support,confidence,coverage,lift,count
1,{ETHYLCELLULOSE},{TITANIUM DIOXIDE},0.01,1.0,0.01,1.19,5
2,{TITANIUM DIOXIDE},{ETHYLCELLULOSE},0.01,0.01,0.84,1.19,5
3,{SORBITOL},{SODIUM HYDROXIDE},0.01,0.71,0.02,41.94,5
4,{SODIUM HYDROXIDE},{SORBITOL},0.01,0.71,0.02,41.94,5
5,{SORBITOL},{MEGLUMINE},0.01,0.86,0.02,32.03,6
6,{MEGLUMINE},{SORBITOL},0.01,0.55,0.03,32.03,6
7,{SORBITOL},{POVIDONE},0.01,0.86,0.02,2.86,6
8,{POVIDONE},{SORBITOL},0.01,0.05,0.3,2.86,6
9,{SORBITOL},{MAGNESIUM STEARATE},0.02,1.0,0.02,1.16,7
10,{MAGNESIUM STEARATE},{SORBITOL},0.02,0.02,0.86,1.16,7
11,{SORBITAN MONOLAURATE},{COPOVIDONE},0.01,1.0,0.01,19.57,5
12,{COPOVIDONE},{SORBITAN MONOLAURATE},0.01,0.24,0.05,19.57,5
13,{SORBITAN MONOLAURATE},{SODIUM STEARYL FUMARATE},0.01,1.0,0.01,11.74,5
14,{SODIUM STEARYL FUMARATE},{SORBITAN MONOLAURATE},0.01,0.14,0.09,11.74,5
15,{SORBITAN MONOLAURATE},"{SILICON DIOXIDE, ANHYDROUS}",0.01,1.0,0.01,2.28,5
16,"{SILICON DIOXIDE, ANHYDROUS}",{SORBITAN MONOLAURATE},0.01,0.03,0.44,2.28,5
17,{SORBITAN MONOLAURATE},{TALC},0.01,1.0,0.01,1.88,5
18,{TALC},{SORBITAN MONOLAURATE},0.01,0.02,0.53,1.88,5
19,{SORBITAN MONOLAURATE},{POLYETHYLENE GLYCOL},0.01,1.0,0.01,1.52,5
20,{POLYETHYLENE GLYCOL},{SORBITAN MONOLAURATE},0.01,0.02,0.66,1.52,5
21,{SORBITAN MONOLAURATE},{TITANIUM DIOXIDE},0.01,1.0,0.01,1.19,5
22,{TITANIUM DIOXIDE},{SORBITAN MONOLAURATE},0.01,0.01,0.84,1.19,5
23,{POLYDEXTROSE},{HYPROMELLOSE},0.01,1.0,0.01,1.79,5
24,{HYPROMELLOSE},{POLYDEXTROSE},0.01,0.02,0.56,1.79,5
25,{GLYCEROL MONOCAPRYLOCAPRATE},"{SILICON DIOXIDE, ANHYDROUS}",0.01,1.0,0.01,2.28,5
26,"{SILICON DIOXIDE, ANHYDROUS}",{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.03,0.44,2.28,5
27,{GLYCEROL MONOCAPRYLOCAPRATE},{TALC},0.01,1.0,0.01,1.88,5
28,{TALC},{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.02,0.53,1.88,5
29,{GLYCEROL MONOCAPRYLOCAPRATE},{IRON OXIDE},0.01,1.0,0.01,1.64,5
30,{IRON OXIDE},{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.02,0.61,1.64,5
31,{GLYCEROL MONOCAPRYLOCAPRATE},{TITANIUM DIOXIDE},0.01,1.0,0.01,1.19,5
32,{TITANIUM DIOXIDE},{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.01,0.84,1.19,5
33,{SODIUM HYDROXIDE},{MEGLUMINE},0.01,0.71,0.02,26.69,5
34,{MEGLUMINE},{SODIUM HYDROXIDE},0.01,0.45,0.03,26.69,5
35,{SODIUM HYDROXIDE},{POVIDONE},0.01,0.71,0.02,2.39,5
36,{POVIDONE},{SODIUM HYDROXIDE},0.01,0.04,0.3,2.39,5
37,{SODIUM HYDROXIDE},{MAGNESIUM STEARATE},0.01,0.86,0.02,0.99,6
38,{MAGNESIUM STEARATE},{SODIUM HYDROXIDE},0.01,0.02,0.86,0.99,6
39,{GLYCEROL DIBEHENATE},{TALC},0.01,0.71,0.02,1.34,5
40,{TALC},{GLYCEROL DIBEHENATE},0.01,0.02,0.53,1.34,5
41,{GLYCEROL DIBEHENATE},{IRON OXIDE},0.01,0.71,0.02,1.17,5
42,{IRON OXIDE},{GLYCEROL DIBEHENATE},0.01,0.02,0.61,1.17,5
43,{GLYCEROL DIBEHENATE},{TITANIUM DIOXIDE},0.01,0.86,0.02,1.02,6
44,{TITANIUM DIOXIDE},{GLYCEROL DIBEHENATE},0.01,0.02,0.84,1.02,6
45,{SUCROSE},{MICROCRYSTALLINE CELLULOSE},0.01,0.83,0.01,1.07,5
46,{MICROCRYSTALLINE CELLULOSE},{SUCROSE},0.01,0.02,0.78,1.07,5
47,{SUCROSE},{MAGNESIUM STEARATE},0.01,1.0,0.01,1.16,6
48,{MAGNESIUM STEARATE},{SUCROSE},0.01,0.02,0.86,1.16,6
49,{SUCROSE},{TITANIUM DIOXIDE},0.01,0.83,0.01,0.99,5
50,{TITANIUM DIOXIDE},{SUCROSE},0.01,0.01,0.84,0.99,5
51,{OPADRY},{HYPROMELLOSE},0.01,0.56,0.02,1.0,5
52,{HYPROMELLOSE},{OPADRY},0.01,0.02,0.56,1.0,5
53,{OPADRY},{POLYETHYLENE GLYCOL},0.02,0.89,0.02,1.35,8
54,{POLYETHYLENE GLYCOL},{OPADRY},0.02,0.03,0.66,1.35,8
55,{OPADRY},{MICROCRYSTALLINE CELLULOSE},0.02,0.78,0.02,1.0,7
56,{MICROCRYSTALLINE CELLULOSE},{OPADRY},0.02,0.02,0.78,1.0,7
57,{OPADRY},{MAGNESIUM STEARATE},0.02,0.89,0.02,1.03,8
58,{MAGNESIUM STEARATE},{OPADRY},0.02,0.02,0.86,1.03,8
59,{OPADRY},{TITANIUM DIOXIDE},0.02,0.89,0.02,1.06,8
60,{TITANIUM DIOXIDE},{OPADRY},0.02,0.02,0.84,1.06,8
